heat_demand,jan,jul,2026_jan,2026_jul,2027_jan,2027_jul,2028_jan,2028_jul,2029_jan,2029_jul,2030_jan,2030_jul,2031_jan,2031_jul,2032_jan,2032_jul,2033_jan,2033_jul,2034_jan,2034_jul,2035_jan,2035_jul,2036_jan,2036_jul,2037_jan,2037_jul,2038_jan,2038_jul
0.000719471,0.719471416,0.611550704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.216633092,3.467411796,0,0,0,0,0,0,0,0,0,0
0.000720893,0.720893278,0.612759286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.21624439,3.490221,0,0,0,0,0,0,0,0,0,0
0.001091122,1.091122249,0.927453911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.24682299,3.420267243,0,0,0,0,0,0,0,0,0,0
0.003212651,3.212650535,2.730752955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.293060496,3.373785873,0,0,0,0,0,0,0,0,0,0
0.002017162,2.017161918,1.71458763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.277770356,3.327916779,0,0,0,0,0,0,0,0,0,0
0.00367481,3.67480992,3.123588432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.18522769,3.304683789,0,0,0,0,0,0,0,0,0,0
0.003200106,3.200105746,2.720089884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.200633406,3.396416955,0,0,0,0,0,0,0,0,0,0
0.00261212,2.612120052,2.220302044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.262419892,3.396123978,0,0,0,0,0,0,0,0,0,0
0.001351317,1.351316972,1.148619426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23157734,3.419928408,0,0,0,0,0,0,0,0,0,0
0.001868959,1.868959472,1.588615551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29334177,3.327402012,0,0,0,0,0,0,0,0,0,0
0.001334802,1.334802334,1.134581984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.26239128,3.350158212,0,0,0,0,0,0,0,0,0,0
0.001237041,1.237041335,1.051485135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.231291234,3.303180741,0,0,0,0,0,0,0,0,0,0
0.001434004,1.434004026,1.218903422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.32361764,3.372557259,0,0,0,0,0,0,0,0,0,0
0.000964086,0.964086361,0.819473407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.231121856,3.465080256,0,0,0,0,0,0,0,0,0,0
0.000873579,0.873579167,0.742542292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.26210545,3.488725161,0,0,0,0,0,0,0,0,0,0
0.001292222,1.292221777,1.09838851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.200382662,3.304047933,0,0,0,0,0,0,0,0,0,0
0.000760832,0.760832111,0.646707295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.184951848,3.489812322,0,0,0,0,0,0,0,0,0,0
0.000719923,0.719922917,0.611934479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.30841895,3.280862124,0,0,0,0,0,0,0,0,0,0
0.000717832,0.717832417,0.610157554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.262152628,3.279962673,0,0,0,0,0,0,0,0,0,0
0.001599512,1.599511832,1.359585057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16941434,3.256594968,0,0,0,0,0,0,0,0,0,0
0.001235304,1.235304391,1.050008732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.18485316,3.395161299,0,0,0,0,0,0,0,0,0,0
0.000667753,0.667753472,0.567590451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.184939066,3.325951275,0,0,0,0,0,0,0,0,0,0
0.000708621,0.708620611,0.602327519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.20018345,3.442872474,0,0,0,0,0,0,0,0,0,0
0.000710265,0.710264722,0.603725014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.308120522,3.419841819,0,0,0,0,0,0,0,0,0,0
